系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
港铁,迪士尼线,810000020815,迪士尼,0.0,0.0,114.049859,22.313015,810000020815002,,
港铁,迪士尼线,810000020815,欣澳,2.486,2.486,114.034300,22.330122,810000020807003,,
